City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Barcelona,ES,54.0,clear sky,41.3888,2.1590000000000003,Axel Hotel Barcelona
209,Narsaq,GL,33.8,few clouds,60.9167,-46.05,Hotel Narsaq
212,Baft,IR,51.15,few clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
213,Eureka,US,59.0,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
226,Hamburg,DE,35.01,clear sky,53.55,10.0,IntercityHotel Hamburg Hauptbahnhof
227,Kodiak,US,44.6,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
228,Kavadarci,MK,42.8,scattered clouds,41.4331,22.0119,Feni
231,Bokhan,RU,31.3,light snow,53.153,103.7714,
235,Muros,ES,55.0,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
238,Fairbanks,US,48.2,haze,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
241,Coquimbo,CL,59.0,overcast clouds,-29.9533,-71.3436,Punto de encuentro
242,Kenai,US,42.8,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
250,Saint-Augustin,CA,37.2,clear sky,51.226000000000006,-58.6502,
259,Edmundston,CA,55.4,clear sky,47.3737,-68.3251,Best Western Plus Edmundston Hotel
260,Te Anau,NZ,52.18,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
261,Hovd,MN,35.04,overcast clouds,48.0056,91.6419,Hotel Khovd
263,Rjukan,NO,37.99,scattered clouds,59.8789,8.5941,Park Hotell Rjukan
270,Swellendam,ZA,51.8,clear sky,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
274,Castro,BR,56.7,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
280,Severo-Kurilsk,RU,39.36,light rain,50.6789,156.125,Kak Doma
281,Baruun-Urt,MN,30.88,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
282,Staryy Nadym,RU,36.82,overcast clouds,65.6118,72.6842,
291,Coihaique,CL,48.2,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
292,Laurel,US,57.99,moderate rain,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
293,Midland,US,55.4,overcast clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
296,Chany,RU,36.64,overcast clouds,55.3121,76.7647,Gostinitsa
298,Messina,IT,57.0,few clouds,38.1933,15.5497,Hotel Touring
305,Thonon-Les-Bains,FR,39.99,clear sky,46.25,6.5,Hôtel Les Moineaux
308,Saint-Francois,FR,33.8,clear sky,46.4154,3.9054,Manoir Du Bonheur
310,Havre-Saint-Pierre,CA,37.4,clear sky,50.2334,-63.5986,Auberge Niapiskau
311,Agirish,RU,48.24,broken clouds,61.9247,63.0231,
312,Hokitika,NZ,55.51,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
314,Bud,US,57.0,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
315,Husavik,IS,41.0,scattered clouds,66.0449,-17.3389,Bjarnabúð
321,Lundazi,ZM,59.05,broken clouds,-12.2929,33.1782,"Stones Hotel, Lundazi"
323,Hasaki,JP,50.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
328,Timmins,CA,51.8,scattered clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
332,Hryshkivtsi,UA,45.86,overcast clouds,49.9353,28.6038,Кафе-готель Домашні страви
336,Abu Samrah,SY,53.76,clear sky,35.3029,37.1841,
340,Marfino,RU,54.0,light rain,55.7028,37.3822,ARK guest house
344,Penzance,GB,46.0,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
345,Marystown,CA,35.46,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
349,Furano,JP,37.4,few clouds,43.2818,142.4743,星人の宿・ペンション和田
353,Harrisonburg,US,55.99,light rain,38.4496,-78.8689,Hampton Inn Harrisonburg - University
354,Maralal,KE,59.9,broken clouds,1.0968,36.698,Ngari Hill Ecolodge
363,Saint-Denis,FR,42.01,scattered clouds,48.9167,2.3333,ibis budget Paris Porte de Montmartre
367,Bereda,ES,44.01,few clouds,43.2686,-7.5406,Pazo de Verdes
371,Kamenka,RU,48.92,scattered clouds,51.3223,42.7678,
372,Fukumitsu,JP,53.01,clear sky,36.55,136.8667,TSUBAKI HOUSE
373,Great Yarmouth,GB,39.99,few clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
375,Caribou,US,57.2,clear sky,46.8606,-68.012,Crown Park Inn Caribou
378,Vikulovo,RU,45.63,scattered clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
380,Concarneau,FR,41.0,clear sky,47.875,-3.9225,Hôtel de L' Océan
384,Homer,US,39.2,light snow,59.6425,-151.5483,Beluga Lake Lodge
388,Komsomolskiy,UZ,53.6,overcast clouds,40.4272,71.7189,Ikathouse
393,Mastic Beach,US,57.0,scattered clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
395,Zhirnovsk,RU,50.4,scattered clouds,50.9845,44.7735,Gostinitsa Zhirnovsk
396,Jumla,NP,45.36,scattered clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
401,Lasa,IT,37.0,light snow,46.6166,10.7002,Pension Feldgärtenhof
405,Broken Hill,AU,59.0,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
406,Hohhot,CN,37.4,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
407,Zaysan,KZ,41.32,broken clouds,47.4667,84.8667,Ерлан үй
415,Chalon-Sur-Saone,FR,37.4,clear sky,46.7833,4.85,ibis Chalon-sur-Saône Europe
418,Atbasar,KZ,30.94,clear sky,51.8,68.3333,"The Ritz-Carlton, Astana"
420,Aktau,KZ,48.2,clear sky,43.65,51.2,Silk Way Hotel
423,Sitka,US,44.6,light rain,57.0531,-135.33,Westmark Sitka
424,Vestmanna,FO,44.6,broken clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
425,Asau,RO,39.99,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
428,Westport,US,57.99,overcast clouds,41.1415,-73.3579,The Westport Inn
430,Aksarka,RU,35.15,light rain,66.5606,67.7975,
