City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bengkulu,ID,2021-04-10 02:57:25,-3.8004,102.2655,302.22,67,29,3.01
68,Mataura,NZ,2021-04-10 02:57:28,-46.1927,168.8643,286.48,91,100,2.68
69,Plettenberg Bay,ZA,2021-04-10 03:03:04,-34.0527,23.3716,288.83,79,45,1.67
70,Porto Novo,BJ,2021-04-10 03:03:05,6.4965,2.6036,300.34,79,100,3.39
71,Kaitangata,NZ,2021-04-10 02:57:49,-46.2817,169.8464,286.66,86,100,5.58
72,Portobelo,PA,2021-04-10 03:03:05,9.55,-79.65,297.04,89,100,1.75
73,Along,IN,2021-04-10 03:03:05,28.1667,94.7667,291.83,94,100,1.27
74,Tumut,AU,2021-04-10 03:03:06,-35.3,148.2167,288.15,58,90,6.17
75,Ovalle,CL,2021-04-10 03:03:06,-30.5983,-71.2003,290.16,68,0,1.14
76,Inuvik,CA,2021-04-10 02:58:57,68.3499,-133.7218,247.15,64,100,4.12
77,Ulaanbaatar,MN,2021-04-10 02:58:29,47.9077,106.8832,277.15,45,75,1.0
78,Norman Wells,CA,2021-04-10 02:57:38,65.282,-126.8329,253.15,65,75,7.2
79,Nizhnyaya Omka,RU,2021-04-10 03:03:06,55.4338,74.9426,273.48,86,100,5.22
80,Selizharovo,RU,2021-04-10 03:03:07,56.8519,33.4487,275.81,74,100,5.31
81,Kruisfontein,ZA,2021-04-10 02:58:15,-34.0033,24.7314,287.09,82,65,1.16
82,Beloha,MG,2021-04-10 02:59:35,-25.1667,45.05,294.12,97,26,2.3
83,Chuy,UY,2021-04-10 02:58:40,-33.6971,-53.4616,293.08,92,97,1.64
84,Newport,GB,2021-04-10 02:59:19,51.5877,-2.9984,277.59,78,71,4.64
85,Hilo,US,2021-04-10 02:58:23,19.7297,-155.09,299.15,53,1,5.14
86,Bluff,NZ,2021-04-10 02:57:48,-46.6,168.3333,286.48,91,100,2.68
87,Saint George,US,2021-04-10 02:58:50,37.1041,-113.5841,297.15,9,1,5.14
88,Wuwei,CN,2021-04-10 02:58:18,37.9281,102.6414,284.5,49,100,1.09
89,Fort Nelson,CA,2021-04-10 03:03:08,58.8053,-122.7002,271.15,59,90,7.72
90,Manado,ID,2021-04-10 03:02:41,1.487,124.8455,305.15,62,40,3.09
91,Kodiak,US,2021-04-10 02:57:12,57.79,-152.4072,274.15,25,1,7.2
92,Puerto Ayora,EC,2021-04-10 02:57:18,-0.7393,-90.3518,297.04,97,89,1.05
93,Prado,BR,2021-04-10 03:03:09,-17.3411,-39.2208,295.19,89,34,2.26
94,Deputatskiy,RU,2021-04-10 02:59:15,69.3,139.9,255.71,87,100,2.19
95,Longyearbyen,SJ,2021-04-10 02:58:01,78.2186,15.6401,273.15,64,75,7.72
96,Hermanus,ZA,2021-04-10 02:57:20,-34.4187,19.2345,290.93,85,100,0.45
97,Sakakah,SA,2021-04-10 03:03:09,29.9697,40.2064,288.15,36,0,4.63
98,Eureka,US,2021-04-10 03:03:09,40.8021,-124.1637,282.59,72,94,4.47
99,Saint-Philippe,RE,2021-04-10 02:57:24,-21.3585,55.7679,298.15,69,100,4.9
100,Carnarvon,AU,2021-04-10 02:57:32,-24.8667,113.6333,306.15,49,82,7.72
101,Tupik,RU,2021-04-10 03:03:10,54.4253,119.9327,271.3,80,100,6.71
102,Groningen,NL,2021-04-10 03:03:10,53.25,6.75,277.04,100,20,0.51
103,Hilton Head Island,US,2021-04-10 03:03:01,32.2163,-80.7526,292.15,88,90,2.06
104,Manbij,SY,2021-04-10 03:03:11,36.5281,37.9549,276.15,93,0,0.51
105,Atuona,PF,2021-04-10 02:57:24,-9.8,-139.0333,300.03,77,43,6.75
106,Dikson,RU,2021-04-10 02:57:32,73.5069,80.5464,272.05,95,100,13.36
107,Prieska,ZA,2021-04-10 03:03:11,-29.6641,22.7474,295.39,36,14,2.28
108,Maldonado,UY,2021-04-10 03:01:55,-34.6667,-54.9167,294.26,100,90,3.09
109,Carsamba,TR,2021-04-10 03:03:11,41.1989,36.7219,279.26,93,75,2.06
110,Kathu,TH,2021-04-10 03:03:12,7.9178,98.3332,304.15,70,20,2.06
111,Kavieng,PG,2021-04-10 02:57:38,-2.5744,150.7967,301.67,72,81,3.73
112,Jamestown,US,2021-04-10 02:57:18,42.097,-79.2353,287.04,82,1,7.2
113,Butaritari,KI,2021-04-10 02:57:42,3.0707,172.7902,301.11,76,100,6.43
